Key,File,Type,UsedInMainMenu,NoTranslate,english


attNameITAV,progression,Attribute,,,"Attribute: Passion"
attitav,progression,Attribute,,,Passion
attDescITAV,progression,Attribute,,,"Learn a profession to be able to support and contribute to your village."
bookSmelterITAV,Items,perk  book,,,"Profession: Smelter"
bookSmelterITAVDesc,Items,perk  book,,,"Smelters learn how to make the forge, the anvil and later on the crucible. They smelt more efficiently than any other."
bookMinerITAV,Items,perk  book,,,"Profession: Miner"
bookMinerITAVDesc,progression,perk  book,,,"Miners are efficient at gathering materials. They harvest more resources from trees and veins."
perkMinerITAVRank1LongDesc,progression,perk Pro,,,"Craft quality 2 poor tools, increase tool damage by 10% and block damage by 30% with any axe, pick, shovel, chainsaw or auger.\nUnlocks all iron tools like pickaxes. And harvest 20% more from ore, stone, terrain blocks and trees."
bookHunterITAV,Items,perk  book,,,"Profession: Hunter"
bookHunterITAVDesc,progression,perk  book,,,"Hunters specialize in tracking and hunting animals. They also harvest more resources from animal carcasses."
perkHunterITAVRank1LongDesc,progression,perk Pro,,,"You are now a Hunter. Harvest 20% more resources from animals and crouch to track them. Deal 25% more damage to animals."
bookCookITAV,Items,perk  book,,,"Profession: Cook"
bookCookITAVDesc,progression,perk  book,,,"Cooks learn how to prepare more filling meals. These meals give higher health and stamina bonuses."
bookArmorerITAV,Items,perk  book,,,"Profession: Armorer"
bookArmorerITAVDesc,progression,perk  book,,,"Armorers craft light and heavy armor."
bookWeaponsmithITAV,Items,perk  book,,,"Profession: Weaponsmith"
bookWeaponsmithITAVDesc,progression,perk  book,,,"Weaponsmiths craft ranged and melee weaponry, including explosives."
bookGathererITAV,Items,perk  book,,,"Profession: Gatherer"
bookGathererITAVDesc,progression,perk  book,,,"Gatherers harvest more from crops and can craft seeds from the harvest."

cntVendingMachineITAV,blocks,Container,,,"Player Owned Store"
cntVendingMachineGroupDescITAV,blocks,Container,,,"Create your own Store to sell goods for Casino Coins. Buy the goods you need from other Player Owned Stores to support them and the community!  Store is indestructible unless falling."

perkDeadEyeRank1LongDesc,progression, perk Per,,,"Pot Shot. You can hit the broad side of a barn and do 10% more damage with rifles. Aim and reload 10% faster. Ask a Weaponsmith to craft weapons for you."
perkDeadEyeRank2LongDesc,progression, perk Per,,,"You can hit a large rock at 30 yards. Deal 20% more damage, aim 20% faster, reload 15% faster. Ask a Weaponsmith to craft weapons for you."
perkDeadEyeRank3LongDesc,progression, perk Per,,,"You are now a markswoman and can hold your own. Deal 30% more damage , aim 32% faster, reload 20% faster and use 10% less stamina aiming with rifles.\nKill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%. Ask a Weaponsmith to craft weapons for you."
perkDeadEyeRank4LongDesc,progression, perk Per,,,"You are now a sharpshooter. Deal 40% more damage, aim 45% faster, reload 25% faster, and use 20% less stamina aiming with rifles.\nKill Streak: Successive kills increase damage bonus by 20%, 30% to a maximum of 40%. Ask a Weaponsmith to craft weapons for you."
perkJavelinMasterRank1LongDesc,progression, perk Per,,,"Sticks and stones can't break my bones but if combined make a nice spear. Spears do 10% more damage and have 10% more range when thrown. Ask a Weaponsmith to craft weapons for you."
