Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german

mmGoLandClaimCount,,,Main Menu Game Options,,Number of Land Claims,,Spieloptionen im Hauptmenü,,Anzahl der Landansprüche
goLandClaimCount,,UI,Menu,,Claim Amount,,Anspruchsbetrag
goLandClaimCountDesc,,UI,Menu,,The max number of active Land Claims per player.,,Die maximale Anzahl aktiver Landansprüche pro Spieler.
goLandClaimCountValue,,UI,Menu,,{0} block,,Block
goLandClaimCountValues,,UI,Menu,,{0} blocks,,Blöcke

loadingTipProfessionsITAV,UI,Loading Screen,x,,"Each Profession provides vital goods for the other players. Try to fill any empty roles to improve the chance of survival.",,"Jeder Beruf liefert den anderen Spielern lebenswichtige Güter. Versuchen Sie, alle leeren Rollen zu besetzen, um die Überlebenschancen zu verbessern."
loadingTipProfessionsITAV_title,UI,Loading Screen,x,,It Takes A Village.,, Es braucht eine Stadt.
loadingTipSmelterITAV,UI,Loading Screen,x,,"Many crafting recipes require large amounts of steel. Do you have a Smelter to help you out?",,"Viele Handwerksrezepte erfordern große Mengen an Stahl. Hast du einen Schmelzer, der dir hilft?"
loadingTipSmelterITAV_title,UI,Loading Screen,x,,"Got a Smelter friend?",,"Hast du einen Smelter-Freund?"
loadingTipCustomThingsITAV,UI,Loading Screen,x,,"Search for 'deco' or 'itav' in the crafting window to find custom things!",,"Suche im Crafting-Fenster nach 'deco' oder 'itav', um benutzerdefinierte Dinge zu finden!"
loadingTipCustomThingsITAV_title,UI,Loading Screen,x,,"More stuff",,"Mehr Zeug"
loadingTipShopLiftingITAV,UI,Loading Screen,x,,"If you lift your shop, make sure you manually collect the money from it first! Otherwise it is destroyed when the shop is picked up.",,"Wenn Sie Ihren Laden aufheben, stellen Sie sicher, dass Sie das Geld zuerst manuell einsammeln! Andernfalls wird es zerstört, wenn der Laden abgeholt wird."
loadingTipShopLiftingITAV_title,UI,Loading Screen,x,,"Shop Lifting",,"Ladendiebstahl"
loadingTipPricePaddingITAV,UI,Loading Screen,x,,"If you are low on money, you can manually increase the sales prices of the items in your shop.",,"Wenn Sie knapp bei Kasse sind, können Sie die Verkaufspreise der Artikel in Ihrem Shop manuell erhöhen."
loadingTipPricePaddingITAV_title,UI,Loading Screen,x,,"Padding the Prices",,"Erhöhen der Preise"

loadingTipCraftingBetterQL,UI,Loading Screen,x,,At the start of the game you can only craft quality 1 tools and items such as a stone axe. The quality of an item is displayed at the bottom of its icon. To craft a higher quality item increase the perk it is governed under such as Miner 69’er for the stone axe.,,Zu Beginn des Spiels können Sie nur Werkzeuge und Gegenstände der Qualität 1 herstellen, z. B. eine Steinaxt. Die Qualität eines Gegenstands wird am unteren Rand seines Symbols angezeigt. Um einen Gegenstand von höherer Qualität herzustellen, erhöhen Sie den Vorteil, unter dem er geregelt ist, wie z. B. Miner 69'er für die Steinaxt.
loadingTipCraftingBetterQL_title,UI,Loading Screen,x,,How do I craft better tools?,,Wie erstelle ich bessere Werkzeuge?
loadingTipEncumbrance,UI,Loading Screen,x,,Carrying too many items in your inventory will slow you down.\n Find or craft pocket mods for clothing or armor to remove encumbrance penalties. Alternatively you can purchase the Pack Mule perk.,,,,Das Tragen zu vieler Gegenstände in deinem Inventar wird dich verlangsamen.\n Finde oder fertige Taschen-Mods für Kleidung oder Rüstung, um Belastungsstrafen zu beseitigen. Alternativ können Sie den Pack-Maultier-Vorteil erwerben.
loadingTipEncumbrance_title,UI,Loading Screen,x,,Encumbrance,,Belastung
loadingTipExtCharStats,UI,Loading Screen,x,,"To access the character menu press [action:local:Inventory][action:permanent:Character], below your character’s name select the Extended Character Stats tab to see all your character’s total stats which include perks, buffs, equipped clothing, armor and weapons.",,"Um auf das Charaktermenü zuzugreifen, drücke [action:local:Inventory][action:permanent:Character], wähle unter dem Namen deines Charakters die Registerkarte "Erweiterte Charakterstatistiken", um alle Gesamtstatistiken deines Charakters anzuzeigen, darunter Vergünstigungen, Buffs, ausgerüstete Kleidung, Rüstungen und Waffen."
loadingTipExtCharStats_title,UI,Loading Screen,x,,Extended Character Stats,,Erweiterte Charakterstatistiken
loadingTipGlue,UI,Loading Screen,x,,"Cook bones into glue in a cooking pot or chemistry station. Glue is an essential ingredient to make duct tape, the most useful item in the apocalypse.",,"Kochen Sie Knochen in einem Kochtopf oder einer Chemiestation zu Klebstoff. Klebstoff ist eine wesentliche Zutat zur Herstellung von Klebeband, dem nützlichsten Gegenstand in der Apokalypse."
loadingTipGlue_title,ui,Loading Screen,x,,Glue,,Kleber
loadingTipHarvestingCorpses,UI,Loading Screen,x,,"Animal corpses and rotten remains can be harvested for hide, meat, and bone. Bone is used for crafting glue and duct tape.\n A stone axe will do but knives and machetes are more efficient. A bone knife can be crafted early.",,"Tierleichen und verrottete Überreste können für Haut, Fleisch und Knochen geerntet werden. Knochen werden zur Herstellung von Klebstoff und Klebeband verwendet.\n Eine Steinaxt reicht aus, aber Messer und Macheten sind effizienter. Ein Knochenmesser kann früh hergestellt werden ."
loadingTipHarvestingCorpses_title,UI,Loading Screen,x,,Harvesting Corpses,,Leichen ernten
loadingTipHarvestingResources,UI,Loading Screen,x,,"Harvest resources such as trees, rocks and more using your fists with [action:local:Primary]. Tools are much faster and yield higher amounts of resources.",,"Ernte Ressourcen wie Bäume, Felsen und mehr mit deinen Fäusten mit [action:local:Primary]. Werkzeuge sind viel schneller und bringen mehr Ressourcen ein."
